amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,energy_kwh,task_duration_sec,details,task_source,department_id,waste_stream,waste_volume_m3,container_type
AMR-A-11,T78,corridor,2026-01-01 11:50:06,2026-01-01 11:50:11,C2-5,C2-4,,,134.284,-149.468,2,138.449,-149.882,2,completed,24606.342,2026-01-01 11:50:06,segment_corridor,food_trolley,,C2-5,C2-4,,4.983,0.0,4.186,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-5"", ""to"": ""C2-4"", ""duration"": 4.982768066818886, ""distance_m"": 4.185525176127864, ""speed_factor"": 0.7, ""congestion_count"": 2, ""from_x"": 134.284, ""from_y"": -149.468, ""to_x"": 138.449, ""to_y"": -149.882, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:50:11,2026-01-01 11:50:16,C2-4,C2-3,,,138.449,-149.882,2,142.469,-149.736,2,completed,24611.325,2026-01-01 11:50:11,segment_corridor,food_trolley,,C2-4,C2-3,,4.789,0.0,4.023,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-4"", ""to"": ""C2-3"", ""duration"": 4.788869488204548, ""distance_m"": 4.02265037009182, ""speed_factor"": 0.7, ""congestion_count"": 2, ""from_x"": 138.449, ""from_y"": -149.882, ""to_x"": 142.469, ""to_y"": -149.736, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:50:16,2026-01-01 11:50:36,C2-3,C2-2,,,142.469,-149.736,2,142.153,-138.602,2,completed,24616.114,2026-01-01 11:50:16,segment_corridor,food_trolley,,C2-3,C2-2,,20.627,0.0,11.138,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-3"", ""to"": ""C2-2"", ""duration"": 20.6268210735307, ""distance_m"": 11.138483379706578, ""speed_factor"": 0.45, ""congestion_count"": 4, ""from_x"": 142.469, ""from_y"": -149.736, ""to_x"": 142.153, ""to_y"": -138.602, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,wait_for_node,2026-01-01 11:50:36,2026-01-01 11:50:37,C2-1,C2-1,,,142.153,-135.436,2,142.153,-135.436,2,waiting,24636.741,2026-01-01 11:50:36,segment_wait,food_trolley,,C2-1,C2-1,,0.495,0.495,0.0,0.0,0.0,"{""type"": ""wait_for_node"", ""from"": ""C2-1"", ""to"": ""C2-1"", ""duration"": 0.49535247134554083, ""distance_m"": 0.0, ""congestion_count"": 3}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:50:37,2026-01-01 11:50:43,C2-2,C2-1,,,142.153,-138.602,2,142.153,-135.436,2,completed,24637.236,2026-01-01 11:50:37,segment_corridor,food_trolley,,C2-2,C2-1,,5.863,0.0,3.166,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-2"", ""to"": ""C2-1"", ""duration"": 5.862962962962958, ""distance_m"": 3.165999999999997, ""speed_factor"": 0.45, ""congestion_count"": 3, ""from_x"": 142.153, ""from_y"": -138.602, ""to_x"": 142.153, ""to_y"": -135.436, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:50:43,2026-01-01 11:50:51,C2-1,KITCHEN,,,142.153,-135.436,2,142.071,-131.132,2,completed,24643.099,2026-01-01 11:50:43,segment_corridor,food_trolley,,C2-1,KITCHEN,,7.972,0.0,4.305,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-1"", ""to"": ""KITCHEN"", ""duration"": 7.9718167832551705, ""distance_m"": 4.304781062957792, ""speed_factor"": 0.45, ""congestion_count"": 5, ""from_x"": 142.153, ""from_y"": -135.436, ""to_x"": 142.071, ""to_y"": -131.132, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,pickup,2026-01-01 11:50:51,2026-01-01 11:51:11,,,,,,,,,,,completed,24651.071,2026-01-01 11:50:51,segment_pickup,food_trolley,,KITCHEN,ELECTIVE-WARD-DELIVERYAREA,,20.0,0.0,0.0,0.0,0.0,"{""type"": ""pickup"", ""location"": ""KITCHEN"", ""duration"": 20.0, ""from_x"": null, ""from_y"": null, ""to_x"": null, ""to_y"": null, ""from_floor"": null, ""to_floor"": null}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:51:11,2026-01-01 11:51:19,KITCHEN,C2-1,,,142.071,-131.132,2,142.153,-135.436,2,completed,24671.071,2026-01-01 11:51:11,segment_corridor,food_trolley,,KITCHEN,C2-1,,7.972,0.0,4.305,0.0,0.0,"{""type"": ""corridor"", ""from"": ""KITCHEN"", ""to"": ""C2-1"", ""duration"": 7.9718167832551705, ""distance_m"": 4.304781062957792, ""speed_factor"": 0.45, ""congestion_count"": 4, ""from_x"": 142.071, ""from_y"": -131.132, ""to_x"": 142.153, ""to_y"": -135.436, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:51:19,2026-01-01 11:51:22,C2-1,C2-2,,,142.153,-135.436,2,142.153,-138.602,2,completed,24679.043,2026-01-01 11:51:19,segment_corridor,food_trolley,,C2-1,C2-2,,3.104,0.0,3.166,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-1"", ""to"": ""C2-2"", ""duration"": 3.1039215686274484, ""distance_m"": 3.165999999999997, ""speed_factor"": 0.85, ""congestion_count"": 1, ""from_x"": 142.153, ""from_y"": -135.436, ""to_x"": 142.153, ""to_y"": -138.602, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:51:22,2026-01-01 11:51:35,C2-2,C2-3,,,142.153,-138.602,2,142.469,-149.736,2,completed,24682.147,2026-01-01 11:51:22,segment_corridor,food_trolley,,C2-2,C2-3,,13.26,0.0,11.138,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-2"", ""to"": ""C2-3"", ""duration"": 13.260099261555451, ""distance_m"": 11.138483379706578, ""speed_factor"": 0.7, ""congestion_count"": 2, ""from_x"": 142.153, ""from_y"": -138.602, ""to_x"": 142.469, ""to_y"": -149.736, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:51:35,2026-01-01 11:51:39,C2-3,C2-4,,,142.469,-149.736,2,138.449,-149.882,2,completed,24695.407,2026-01-01 11:51:35,segment_corridor,food_trolley,,C2-3,C2-4,,3.944,0.0,4.023,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-3"", ""to"": ""C2-4"", ""duration"": 3.9437748726390396, ""distance_m"": 4.02265037009182, ""speed_factor"": 0.85, ""congestion_count"": 1, ""from_x"": 142.469, ""from_y"": -149.736, ""to_x"": 138.449, ""to_y"": -149.882, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:51:39,2026-01-01 11:51:43,C2-4,C2-5,,,138.449,-149.882,2,134.284,-149.468,2,completed,24699.351,2026-01-01 11:51:39,segment_corridor,food_trolley,,C2-4,C2-5,,4.103,0.0,4.186,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-4"", ""to"": ""C2-5"", ""duration"": 4.103456055027317, ""distance_m"": 4.185525176127864, ""speed_factor"": 0.85, ""congestion_count"": 1, ""from_x"": 138.449, ""from_y"": -149.882, ""to_x"": 134.284, ""to_y"": -149.468, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:51:43,2026-01-01 11:52:11,C2-5,C2-6,,,134.284,-149.468,2,133.869,-125.703,2,completed,24703.454,2026-01-01 11:51:43,segment_corridor,food_trolley,,C2-5,C2-6,,28.296,0.0,23.769,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-5"", ""to"": ""C2-6"", ""duration"": 28.29598002946114, ""distance_m"": 23.768623224747355, ""speed_factor"": 0.7, ""congestion_count"": 2, ""from_x"": 134.284, ""from_y"": -149.468, ""to_x"": 133.869, ""to_y"": -125.703, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:52:11,2026-01-01 11:52:39,C2-6,C2-7,,,133.869,-125.703,2,133.817,-102.025,2,completed,24731.75,2026-01-01 11:52:11,segment_corridor,food_trolley,,C2-6,C2-7,,28.188,0.0,23.678,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-6"", ""to"": ""C2-7"", ""duration"": 28.18816321350992, ""distance_m"": 23.67805709934833, ""speed_factor"": 0.7, ""congestion_count"": 2, ""from_x"": 133.869, ""from_y"": -125.703, ""to_x"": 133.817, ""to_y"": -102.025, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
